"Domain","English","Kiswahili","Ekegusii","Notes"
"Education","The Ministry of Education reminds parents that enrolment for Grade One is open at all public primary schools.","Wizara ya Elimu inawakumbusha wazazi kwamba uandikishaji wa Gredi ya Kwanza unaendelea katika shule zote za umma za msingi.","","Access to education"
"Education","Teenage mothers are encouraged to return to school, and no school should deny them readmission.","Wakina mama wa kijana wanahimizwa kurejea shuleni, na hakuna shule inayopaswa kuwanyima kukubaliwa tena.","","Access to education"
"Education","Needy students can apply for county bursaries through their ward education offices.","Wanafunzi maskini wanaweza kuomba misaada ya masomo ya kaunti kupitia ofisi za elimu za kata zao.","","Access to education"
"Education","HELB invites eligible university and college students to apply for loans through the online portal.","HELB inawaalika wanafunzi wa vyuo vikuu na vyuo wanaostahili kuomba mikopo kupitia lango la mtandaoni.","","Access to education"
"Education","Adult literacy classes are offered free of charge at community learning centres across the county.","Madarasa ya kusoma na kuandika kwa watu wazima yanatolewa bure katika vituo vya kujifunzia vya jamii katika kaunti nzima.","","Access to education"
"Education","Every child has the right to education; parents who keep children at home risk legal action.","Kila mtoto ana haki ya kupata elimu; wazazi wanaowazuia watoto wao kuhudhuria shule wanaweza kuchukuliwa hatua za kisheria.","","Access to education"
"Education","The sub-county education office will register children who missed enrolment during the school holidays.","Ofisi ya elimu ya wilaya ndogo itawaandikisha watoto walioachwa nyuma wakati wa uandikishaji.","","Access to education"
"Education","The Teachers Service Commission urges communities to keep girls in school until they complete their secondary education.","TSC inahimiza jamii kuweka wasichana shuleni hadi wamalisize elimu yao ya sekondari.","","Access to education"
"Education","Parents are asked to collect admission letters for their children from the schools where they were placed.","Wazazi wanaombwa kuchukua barua za kujiunga za watoto wao kutoka shule walizowekwa.","","Access to education"
"Education","KUCCPS reminds candidates who have not secured placement to revise their course choices during the open window.","KUCCPS inawakumbusha watahiniwa ambao bado hawajapata nafasi kupitia tena uchaguzi wao wa kozi katika kipindi kilichofunguliwa.","","Access to education"
"Education","The Ministry of Education urges youth to enrol in TVET colleges for practical skills that lead to employment.","Wizara ya Elimu inawahamasisha vijana kujiunga na vyuo vya TVET ili kupata ujuzi wa vitendo unaowezesha kuajiriwa.","","Vocational training"
"Education","Apprenticeship opportunities are available for youth interested in plumbing, welding, and electrical work at county workshops.","Fursa za kujifunzia ufundi kwa kazi zinapatikana kwa vijana wanaopenda ufundi wa mabomba, kushomelea na umeme katika karakana za kaunti.","","Vocational training"
"Education","KUCCPS has opened applications for diploma and certificate courses in public technical and vocational institutions.","KUCCPS imefungua maombi ya kozi za diploma na vyeti katika taasisi za umma za mafunzo ya kiufundi na kitaaluma.","","Vocational training"
"Education","Graduates of vocational training can access government tools and startup support through their local youth offices.","Wahitimu wa mafunzo ya ufundi wanaweza kupata zana za serikali na msaada wa kuanzisha biashara kupitia ofisi za vijana za eneo lao.","","Vocational training"
"Education","Employers are encouraged to offer industrial attachment placements to TVET students in their workshops and firms.","Waajiri wanahimizwa kutoa nafasi za kujifunzia kwa vitendo kwa wanafunzi wa TVET katika karakana na makampuni yao.","","Vocational training"
