PSA_ID,Domain,English,Kiswahili,Ekegusii,Source,Date,URL,Metadata,Status,English_norm,Kiswahili_norm,tokens_en,tokens_sw,codeswitch,glossary_terms
PSA000001,Health,WHO is continuously monitoring and responding to this pandemic.,,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,WHO is continuously monitoring and responding to this pandemic.,,9,0,False,
PSA000002,Health,"This questions and answers page will be updated as more is known about COVID-19, how it spreads and how it is affecting people worldwide.",,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,"This questions and answers page will be updated as more is known about COVID-19, how it spreads and how it is affecting people worldwide.",,24,0,False,
PSA000003,Health,"For more information, regularly check the WHO coronavirus pages. https://www.who.int/covid-19",,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,"For more information, regularly check the WHO coronavirus pages. https://www.who.int/covid-19",,14,0,False,
PSA000004,Health,COVID-19 is the disease caused by a coronavirus called SARS-CoV-2.,,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,COVID-19 is the disease caused by a coronavirus called SARS-CoV-2.,,11,0,False,
PSA000005,Health,"WHO first learned of this new virus on 31 December 2019, following a report of a cluster of cases of so-called viral pneumonia in Wuhan, People’s Republic of China.",,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,"WHO first learned of this new virus on 31 December 2019, following a report of a cluster of cases of so-called viral pneumonia in Wuhan, People's Republic of China.",,28,0,False,
PSA000006,Health,The most common symptoms of COVID-19 are,,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,The most common symptoms of COVID-19 are,,7,0,False,
PSA000007,Health,"If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic.",,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,"If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic.",,21,0,False,
PSA000008,Health,People who have pre-existing health problems are at higher risk when they have COVID-19; they should seek medical help early if worried about their condition.,,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,People who have pre-existing health problems are at higher risk when they have COVID-19; they should seek medical help early if worried about their condition.,,26,0,False,
PSA000009,Health,"These include, but are not limited to: those taking immunosuppressive medication; those with chronic heart, lung, liver or rheumatological problems; those with HIV, diabetes, cancer or dementia.",,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,"These include, but are not limited to: those taking immunosuppressive medication; those with chronic heart, lung, liver or rheumatological problems; those with HIV, diabetes, cancer or dementia.",,27,0,False,
PSA000010,Health,"As testing rates fall, it is more difficult to know how many people have COVID-19 and do not seek any treatment.",,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,"As testing rates fall, it is more difficult to know how many people have COVID-19 and do not seek any treatment.",,21,0,False,
PSA000011,Health,"At the start of the pandemic, 15% of people were thought to become seriously unwell and require hospital treatment and oxygen.",,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,"At the start of the pandemic, 15% of people were thought to become seriously unwell and require hospital treatment and oxygen.",,20,0,False,
PSA000012,Health,More recent estimates suggest that hospitalization is required in around 3% of people with COVID-19.,,,WHO,2026-07-22,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19,"{""type"": ""scraped"", ""tool"": ""requests+bs4"", ""site"": ""who_covid_qna""}",Pending,More recent estimates suggest that hospitalization is required in around 3% of people with COVID-19.,,14,0,False,
