PSA_ID,Domain,English,Kiswahili,Dholuo,Source,Date,Metadata,Status
PSA000001,Health,"WHO is continuously monitoring and responding to this pandemic. This questions and answers page will be updated as more is known about COVID-19, how it spreads and how it is affecting people worldwide. For more information, regularly check the WHO coronavirus pages. https://www.who.int/covid-19",,,WHO,2026-07-22,scraped,Pending
PSA000002,Health,"COVID-19 is the disease caused by a coronavirus called
SARS-CoV-2.  WHO first learned of this new virus on 31 December 2019,
following a report of a cluster of cases of so-called viral pneumonia in Wuhan,
People’s Republic of China.",,,WHO,2026-07-22,scraped,Pending
PSA000004,Health,"The most common symptoms of COVID-19 are fever chills sore throat. Other symptoms that are less common and may affect some patients include: muscle aches severe fatigue or tiredness runny or blocked nose, or sneezing headache sore eyes dizziness new and persistent cough tight chest or chest pain shortness of breath hoarse voice heavy arms/legs numbness/tingling nausea, vomiting, abdominal pain/ belly ache, or diarrhoea appetite loss loss or change of sense of taste or smell difficulty sleeping. Symptoms of severe COVID‐19 disease which need immediate medical attention include: difficulty in breathing, especially at rest, or unable      to speak in sentences confusion drowsiness or loss of consciousness persistent pain or pressure in the chest skin being cold or clammy, or turning pale or a bluish      colour loss of speech or movement. If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic. People who have pre-existing health problems are at higher risk when they have COVID-19; they should seek medical help early if worried about their condition. These include, but are not limited to: those taking immunosuppressive medication; those with chronic heart, lung, liver or rheumatological problems; those with HIV, diabetes, cancer or dementia.",,,WHO,2026-07-22,scraped,Pending
PSA000005,Health,The most common symptoms of COVID-19 are,,,WHO,2026-07-22,scraped,Pending
PSA000006,Health,Other symptoms that are less common and may affect some patients include:,,,WHO,2026-07-22,scraped,Pending
PSA000007,Health,Symptoms of severe COVID‐19 disease which need immediate medical attention include:,,,WHO,2026-07-22,scraped,Pending
PSA000008,Health,"If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic.",,,WHO,2026-07-22,scraped,Pending
PSA000009,Health,"People who have pre-existing health problems are at higher risk when they have COVID-19; they should seek medical help early if worried about their condition. These include, but are not limited to: those taking immunosuppressive medication; those with chronic heart, lung, liver or rheumatological problems; those with HIV, diabetes, cancer or dementia.",,,WHO,2026-07-22,scraped,Pending
PSA000010,Health,"As testing rates fall, it is more difficult to know how many people have COVID-19 and do not seek any treatment. At the start of the pandemic, 15% of people were thought to become seriously unwell and require hospital treatment and oxygen. More recent estimates suggest that hospitalization is required in around 3% of people with COVID-19. This is partly due to immunization, partly due to changes in the virus (especially the Omicron variants), and partly due to the availability of targeted medical treatments. Most people make a full recovery without needing hospital treatment. For those with COVID-19 who are at high risk of severe illness (see question below), WHO has made recommendations on which drug treatments are effective in improving outcomes and preventing hospital admissions. It is also important to be vigilant in recognizing people with severe disease and those needing hospital treatment so that they are treated early. The consequences of severe COVID-19 include death, respiratory failure, sepsis, thromboembolism (blood clots), and multiorgan failure, including injury of the heart, liver or kidneys. In rare situations, children can develop a severe inflammatory syndrome a few weeks after infection.",,,WHO,2026-07-22,scraped,Pending
PSA000011,Health,"As testing rates fall, it is more difficult to know how many people have COVID-19 and do not seek any treatment. At the start of the pandemic, 15% of people were thought to become seriously unwell and require hospital treatment and oxygen. More recent estimates suggest that hospitalization is required in around 3% of people with COVID-19. This is partly due to immunization, partly due to changes in the virus (especially the Omicron variants), and partly due to the availability of targeted medical treatments.",,,WHO,2026-07-22,scraped,Pending
