PSA_ID,Domain,English,Kiswahili,Ekegusii,Source,Date,URL,Metadata,Status
PSA001005-BTG,Health,"However, the S protein of SARS-CoV-2 binds to human ACE2 more weakly than that of SARS-CoV, which is coincident with the fact that SARS-CoV-2 causes less severe infection in patients than SARS-CoV.","Hata hivyo, protini S ya SARS-CoV-2 inaunganisha kwenye human ACE2 kwa njia dhaifu zaidi kuliko SARS-CoV, jambo linaloambatana na ukweli kwamba virusi vya SARS-CoV-2 husabisha hali isiyo mbaya zaidi ya maambukizi kwa wagonjwa vikilinganishwa na SARS-CoV.","Hata hivyo, protini ya S ya SARS-CoV-2 huunganisha na ACE2 ya binadamu kwa njia dhaifu zaidi kuliko ya SARS -CoV, ambayo inalingana na ukweli kwamba SARS-COV-2 husababisha maambukizi ya hali ya chini kwa wagonjwa kuliko SARS -COV.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002976-BTG,Health,"Clean objects and surfaces that a lot of people touch, such as doorknobs, phones, and television remotes with regular household cleaner.","Safisha vitu na maeneo ambayo watu wengi wanagusa, kama vile vifundo vya mlango, simu, na rimoti za televisheni kwa kutumia visafishaji vya kawaida vya nyumbani.","Segeta ebinto na ebinto abanto abange baranyare, buna ebinto biria bigosegeta amachiko, esimi, na esimi ase omoroberio bwetugo.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001519-BTG,Health,The same strategy of delinking the immune response might have beneficial effects in anti-SARS-CoV-2 therapy.,Mkakati sawa wa kutenganisha makabiliano ya kinga ya mwili unaweza kuwa na manufaa katika tiba dhidi ya SARS-CoV-2.,Omoroberio oomo bwokoruta oborwaria bwogokonya omoroberio bwobotuki bwomubiri nigo ogokonya korwa oborwari bwa SARS-CoV-2.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000596-BTG,Agriculture,"All other suckers should be cut at base, gorged out in the middle and growing point destroyed.",,"Ebirengererio bionsi biria bikoremerwa biogotemwa ase ebirengererio biao, koborigwa ase ekero ekoremerigwa na koremerigwa.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001607-BTG,Health,"Persons in the United States with underlying health conditions appear to be at higher risk for more severe COVID-19, consistent with findings from other countries.","Watu walio Marekani walio na hali sugu za afya wanaonekana kuwa katika hatari kubwa zaidi kupata hali mbaya ya COVID-19, kuambatana na matokeo kutoka katika nchi nyingine.","Abamenyi baria bakorwa ase America ase oborwaria bwoborwaria buna baranyare korwa emeroberio ekenene ya COVID-19, korwa ebirengererio biria bigokorwa ase chindagera chingiya.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA002502-BTG,Health,"The increasing use of these agents is based on their ease of use and rapid killing activity against micro-organisms; however, they should not serve as a replacement for proper hand washing unless soap and water are unavailable.","kuongezeka kwa matumizi ya viowevu hivi yanatokana na urahisi wa kutumika kwake na shughuli ya kuuwa viini haraka, hata hivyo, havpaswi kutumika kama njia mbadaya ya kuosha mikono isipokuwa iwapo sabuni na maji hazipatikani.","Ogotumia ebinto ebi goikerania ase okoremereria ebinto biria bigotumia na gosegeta obotuki bwao bwendagera ase ebinto binde biria bikorenda ebinto bitano; korende, tibitenerete korwa ase obotoki bwogokonya amaoko gose ebinto biobotoki na amache.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA000154-BTG,Health,"Adequate access to oral morphine and other pain medicines should be provided for the treatment of moderate to severe cancer pain, which affects more than 80% of cancer patients in the terminal phase.",,"Ogoikera goikera oboremi bwa morphine na amariogo amangana igoro yoboremi goikeranwa ase okoremerwa kwa oborwaire bwa kansa bw'ekero ekero ekoremereria ekero ekeeneire, ekiagera abarwaire goetera 80% ase abarwairi b'ekerasi ekerasi chiokoremereria.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA003722-BTG,Health,"The World Health Organization announced on 11 February 2020 that the official name of the disease would be ""COVID-19"".","Shirika la Afya Duniani lilitangaza terehe 11 Februari 2020 kuwa jina rasmi la ugonjwa huo litakuwa ""COVID-19"".","Shirika la Afya Duniani lilitangaza tarehe 11 Februari 2020 kuwa jina rasmi la ugonjwa huu litakuwa ""COVID-19"".",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA001020-BTG,Health,SARS-CoV-2 may possess similar properties.,SARS-CoV-2 inaweza kuwa na sifa sawa.,SARS-CoV-2 inaweza kuwa na mali sawa.,Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
PSA003536-BTG,Health,"In chickens, the infectious bronchitis virus (IBV), a coronavirus, targets not only the respiratory tract but also the urogenital tract.","Katika kuku, virusi vya mkamba vya kuambukiza (IBV), virusi vya korona, hulenga sio tu mfumo wa kupumia, lakini pia mfumo wa mkojo.","Ase ebinyinyi, oborwaria obuya bw'obongo (IBV), omoroberio bw'ekoronavirus, nigo oranyare okobwatia ekero ekoremereria kende, korwa ebinto biria bigotwara ebinto biobongo.",Back-translation,,,"{""type"": ""backtranslation"", ""model"": ""runs/ft_nllb_guz_all/checkpoint-best"", ""tgt"": ""guz""}",Synthetic
